"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2010-03-17",0.414913922548294,22.3253993988037,40.8057899475098,40.8038558959961,13.4984340667725,6.56699991226196,1.3756,1.5333,10.4402,7.3374,11.1715,10.1138
"2010-03-18",0.400243133306503,22.3103351593018,40.6272926330566,40.4989395141602,13.5032653808594,6.63800001144409,1.366,1.5273,10.4064,7.3031,11.149,9.9885
"2010-03-19",0.395429193973541,22.2952518463135,40.6974220275879,40.2279205322266,13.3584280014038,6.51749992370605,1.3548,1.5155,10.2493,7.3076,11.0937,9.9548
"2010-03-23",0.410100221633911,22.5137748718262,41.1372909545898,42.2877616882324,13.4911947250366,6.46299982070923,1.3519,1.4991,10.2845,7.3585,11.0511,9.9443
"2010-03-24",0.396346032619476,22.3404636383057,40.5507926940918,42.0506019592285,13.4163646697998,6.40199995040894,1.3338,1.4958,10.1812,7.3491,11.0354,9.8768
"2010-03-25",0.397492229938507,22.6117210388184,40.5571746826172,42.104808807373,13.4236059188843,6.73649978637695,1.3356,1.4941,10.162,7.3786,11.0218,9.832
"2010-03-26",0.397492229938507,22.3479976654053,40.6017951965332,42.3080940246582,13.3994693756104,6.75299978256226,1.3353,1.4869,10.1762,7.4421,11.0251,9.9493
"2010-03-29",0.40253546833992,22.2952518463135,40.6272926330566,43.0127792358398,13.4549865722656,6.75600004196167,1.3471,1.4971,10.2266,7.3912,11.0957,9.9759
"2010-03-30",0.404140174388885,22.4308815002441,40.5826759338379,42.7959442138672,13.4960241317749,6.8289999961853,1.3482,1.5085,10.3117,7.3996,11.1402,9.9729
"2010-03-31",0.398867607116699,22.069221496582,40.3340492248535,42.5858879089355,13.4211950302124,6.78849983215332,1.3479,1.515,10.3527,7.3273,11.0686,9.8468
"2010-04-01",0.3947414457798,21.9712619781494,40.3914184570312,43.3583450317383,13.3946390151978,6.59049987792969,1.3468,1.5232,10.432,7.238,11.0307,9.772
"2010-04-06",0.39084455370903,22.0918254852295,40.2320556640625,44.239185333252,13.404296875,6.77799987792969,1.3396,1.5177,10.3757,7.2601,11.0271,9.7402
"2010-04-07",0.393365979194641,22.1144256591797,39.8431739807129,43.6835784912109,13.3439531326294,6.74350023269653,1.334,1.5155,10.3773,7.2288,11.0246,9.6797
"2010-04-08",0.386947572231293,22.5439033508301,39.8814353942871,43.690357208252,13.3680849075317,7.0479998588562,1.3296,1.5222,10.4039,7.3577,11.1524,9.7802
"2010-04-09",0.389468997716904,22.8603630065918,39.9898147583008,44.2256278991699,13.2932548522949,7.00299978256226,1.3384,1.5359,10.4766,7.2376,11.1285,9.7071
"2010-04-12",0.396575272083282,22.8452854156494,39.9706802368164,45.2148971557617,13.2811899185181,7.05999994277954,1.3585,1.5423,10.504,7.2553,11.2106,9.8767
"2010-04-13",0.404827862977982,22.943244934082,40.1619338989258,44.8490295410156,13.2087736129761,7.00799989700317,1.3583,1.5422,10.4854,7.2886,11.2128,9.9012
"2010-04-14",0.409870982170105,23.2220268249512,40.2830581665039,45.5875663757324,13.1894540786743,7.21400022506714,1.3615,1.542,10.5527,7.2677,11.2054,9.9128
"2010-04-15",0.412850975990295,23.2597026824951,40.1619338989258,46.2245025634766,13.066349029541,7.29099988937378,1.3544,1.5412,10.5798,7.3413,11.3496,9.9614
"2010-04-16",0.391073793172836,23.1090049743652,40.0663146972656,45.3165473937988,13.0615243911743,7.1085000038147,1.3535,1.5459,10.5151,7.3566,11.3538,9.9645
"2010-04-19",0.389239877462387,23.3877944946289,40.3021697998047,45.3910636901855,13.1291189193726,7.12150001525879,1.3432,1.523,10.4455,7.4364,11.342,10.009
"2010-04-20",0.390615254640579,23.6289005279541,40.2830581665039,45.7366333007812,13.1604928970337,7.21000003814697,1.3486,1.5407,10.4796,7.4221,11.4349,10.0025
"2010-04-21",0.380528897047043,23.6063041687012,40.5635643005371,45.9060440063477,13.1484231948853,7.32149982452393,1.3373,1.5383,10.5178,7.3773,11.3626,9.9137
"2010-04-22",0.382133543491364,23.6515064239502,40.5380477905273,46.0287628173828,13.1532459259033,7.50449991226196,1.3339,1.5401,10.5036,7.423,11.4659,9.9501
"2010-04-23",0.376861274242401,23.3275146484375,40.5061721801758,46.8946571350098,13.1629085540771,7.18149995803833,1.3311,1.5366,10.4815,7.4733,11.4715,9.9204
"2010-04-26",0.380528897047043,23.4405364990234,40.7611885070801,48.8514442443848,13.0446252822876,7.35550022125244,1.3321,1.544,10.5573,7.3772,11.3948,9.8312
"2010-04-28",0.370442569255829,23.2898426055908,40.5802230834961,47.0242080688477,12.9408359527588,6.96750020980835,1.3245,1.5188,10.3732,7.4876,11.3819,9.8634
"2010-04-29",0.381675094366074,23.3576583862305,39.9571113586426,48.2378196716309,12.9625549316406,7.08650016784668,1.3256,1.5234,10.4279,7.3859,11.2491,9.7649
"2010-04-30",0.360127091407776,23.011058807373,39.9314079284668,46.4242057800293,12.9480752944946,6.85500001907349,1.3315,1.5328,10.4507,7.3263,11.2529,9.7374
"2010-05-04",0.338120579719543,22.7021331787109,39.6423301696777,45.4764785766602,13.0397987365723,6.49149990081787,1.3089,1.5187,10.3168,7.4435,11.294,9.7848
"2010-05-05",0.332389771938324,22.4911613464355,39.9314079284668,44.9719619750977,13.2208404541016,6.54650020599365,1.2924,1.5154,10.3186,7.5953,11.4868,9.8314
"2010-05-06",0.325512737035751,21.8356399536133,39.0256233215332,43.2947196960449,12.8491048812866,6.4355001449585,1.2727,1.507,10.2206,7.6436,11.4887,9.7808
"2010-05-07",0.320010989904404,21.2554626464844,38.7429809570312,42.3401908874512,12.648756980896,6.24900007247925,1.2746,1.472,10.0211,7.7344,11.3774,9.8599
"2010-05-10",0.333765149116516,21.8055000305176,40.098445892334,45.4696807861328,12.6921977996826,6.5644998550415,1.2969,1.5008,10.2326,7.4455,11.131,9.7335
