"AIC","BIC","LogLikelihood","MSE..Forecast.vs.Actual.","MAE..Forecast.vs.Actual.","Q.Stat..p.0.05.","ARCH.LM..p.0.05.","Asset","Model"
-6.55454641503717,-6.54476660488462,15102.1203938306,4.22158587348231e-05,0.00500961408787573,0.0261956131960959,4.26291556923517e-85,"GBPZAR","eGARCH"
-6.62735870815728,-6.61757889800473,15269.8071048862,5.29743602442261e-05,0.00540283800588715,0.313638608269748,4.63120500489496e-66,"EURZAR","eGARCH"
-4.21682502446978,-4.20920519595816,13041.2061506361,0.00190684952961782,0.0354831219825472,0.01844672644901,1.4757973900274e-76,"NVDA","TGARCH"
-5.0136504385526,-5.00603061004098,15504.1935055661,0.000209950207724303,0.0103372388310041,2.68599721270357e-05,1.31865466340889e-13,"AAPL","TGARCH"
-4.73903559753182,-4.7314157690202,14655.3590319709,0.000461427989248489,0.0141108564895897,0.0187756647835514,6.75801399974322e-65,"AMZN","TGARCH"
-3.34268116575527,-3.29777028741273,1196.99449500888,0.00457675255815411,0.0445867039837622,4.55796527232266e-06,0.86755435550184,"DJT","TGARCH"
-5.33966683025834,-5.33204700174671,16511.9101723285,0.000766104187891938,0.0178600685405246,1.27068913902129e-06,2.21142886687632e-21,"PDCO","TGARCH"
-5.70417894403756,-5.66439746562121,2377.08635124761,0.0144650352259796,0.106914584537199,0.472228021385481,0.999999999970769,"MLGO","TGARCH"
-7.66155823931285,-7.6517784291603,17651.5686251375,1.21592881008382e-05,0.00252801148917544,0.347227637509204,2.20250705838563e-89,"EURUSD","TGARCH"
-7.56914651171652,-7.55936670156397,17438.7444164831,1.40063384362052e-05,0.00300157524265074,4.16975782258078e-06,6.89538600956342e-62,"GBPUSD","TGARCH"
-7.58416677843141,-7.57438696827886,17473.3360907275,1.94894724773061e-05,0.00343836392482043,0.00580007607267918,6.40698677809592e-49,"GBPCNY","TGARCH"
-6.36534584777169,-6.35556603761914,14666.3914874182,4.23798095640576e-05,0.00493268357673829,0.0158129402632373,1.158245750882e-124,"USDZAR","TGARCH"
-6.55453611109226,-6.5447563009397,15102.0966638455,4.22174377478338e-05,0.00501020904326797,0.0261956131960959,4.12832790618257e-85,"GBPZAR","TGARCH"
-6.62772306074065,-6.6179432505881,15270.6462088857,5.29822556871426e-05,0.00540429060601854,0.313638608269748,4.42801391557118e-66,"EURZAR","TGARCH"
